0562d9aee506c9a0653b4a16f85bbf08,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina,89.7	165	85.38
08e0875f85b3b13c635de65d5ef469eb,Eukaryota,97.2	143	89.28
0a145469d887856a251dafc8520d3321,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Metridinidae	Pleuromamma,98.81	168	72.90
0c53b635e0e5e7c3fb20003018f3f4db,Eukaryota	Viridiplantae	Chlorophyta,100	144	91.57
0c96a7569264479a86b1587235752415,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae	Physonectae,99.39	165	73.12
1020182dbfebc7089894072e8e99110b,Eukaryota	Stramenopiles	Synurophyceae	Synurales	Mallomonadaceae,90.24	164	86.00
107d1fefaa1255b76b04f5363c9e8e1e,Eukaryota	Alveolata	Apicomplexa	Conoidasida	Gregarinasina	Eugregarinorida,86.43	140	83.28
183ba7f71d304d7615fcce25ee877741,Eukaryota	Alveolata	Apicomplexa	Conoidasida	Gregarinasina	Eugregarinorida,96.18	157	88.01
1e19c1a9d2dfe3e91701e65646c46dff,Eukaryota,89.51	162	84.42
24d0f59e698b050fb709f48c77bd619a,Eukaryota	Alveolata	Ciliophora	Intramacronucleata,88.75	160	86.16
2c1c252ed1232c58f0214766c995a116,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Metridinidae	Pleuromamma,98.81	168	72.90
2f8efccffc9b79bd833436afc052c072,Eukaryota,92.48	133	89.31
321c843fcb889d449edeffaf8b0c2304,Eukaryota	Alveolata	Apicomplexa	Conoidasida	Gregarinasina	Eugregarinorida,87.26	157	83.94
3c7ec98d7554ff3aeec31a62c120069b,Eukaryota,98.77	163	89.83
3d3d953a810e4f2f4878bf2a8f8aa1d4,Eukaryota	Metazoa	Lophotrochozoa	Annelida	Clitellata	Oligochaeta	Haplotaxida	Tubificina	Naididae,100	146	73.27
